統計月份,當月抽檢家數,當年度累計抽檢家數,製造業者,進口業者,販賣業者,未變性酒精業者
10901,73,73,0,0,73,0
10902,97,170,0,11,86,0
10903,79,249,0,0,79,0
10904,20,269,0,2,16,2
10905,70,339,0,17,53,0
10906,85,424,0,12,73,0
10907,95,519,0,13,81,1
10908,95,614,14,13,67,1
10909,37,651,0,7,30,0
10910,23,674,0,2,21,0
10911,32,706,0,4,26,2
10912,13,719,0,0,8,5
11001,54,54,0,0,51,3
11002,47,101,0,0,47,0
11003,130,231,0,19,111,0
11004,169,400,0,22,143,4
11005,12,412,0,10,2,0
11006,0,412,0,0,0,0
11007,2,414,0,0,2,0
11008,18,432,0,10,8,0
11009,110,554,0,21,89,0
11010,160,702,14,8,135,3
11011,243,945,0,2,241,0
11012,38,983,0,0,37,1
11101,55,55,0,0,55,0
11102,33,88,0,1,32,0
11103,118,206,0,24,94,0
11104,15,221,0,0,15,0
11105,73,294,0,8,65,0
11106,56,351,0,0,56,0
11107,127,478,0,20,107,0
11108,199,677,13,13,172,1
11109,46,723,1,2,43,0
11110,61,785,1,1,60,0
11111,166,952,0,3,157,7
11112,30,982,0,0,28,2
11201,141,141,0,0,141,0
11202,109,250,0,5,104,0
11203,110,360,3,16,91,0
11204,210,570,0,12,198,0
11205,108,678,2,29,77,0
11206,104,782,0,32,72,0
11207,100,882,0,30,70,0
11208,82,964,0,22,60,0
11209,52,1016,10,1,41,0
11210,11,1026,0,2,9,0
11211,43,1069,0,0,43,0
11212,17,1087,1,0,7,9
11301,139,139,0,0,139,0
11302,86,225,1,0,85,0
11303,110,335,0,4,106,0
11304,76,411,1,3,72,0
11305,100,511,2,34,64,0
11306,103,614,0,27,76,0
11307,127,741,1,38,88,0
11308,138,879,13,30,95,0
11309,75,954,0,3,72,0
11310,86,1040,0,0,86,0
11311,72,1112,0,0,72,0
11312,99,1211,0,0,88,11
11401,85,85,0,0,85,0
11402,128,213,0,0,128,0
11403,63,276,0,1,62,0
11404,143,419,0,14,129,0
11405,72,491,0,17,55,0
11406,74,565,3,19,52,0
11407,119,684,3,33,83,0
11408,90,774,1,40,49,0
11409,79,853,9,8,62,0
11410,56,909,0,1,55,0
11411,69,978,0,2,67,0
11412,100,1078,0,2,88,10
11501,105,105,0,2,103,0
11502,6,111,0,0,6,0
11503,116,227,0,10,106,0
11504,72,299,0,26,46,0
11505,138,437,0,20,118,0
11506,60,474,0,17,43,0
11507,130,604,7,1,122,0
