縣市,物資分類,單位名稱,連絡電話,地址
台北市,抗百步蛇毒血清,三軍總醫院附設民眾診療服務處,(02)87923311,台北市内湖區成功路2段325號
台北市,抗百步蛇毒血清,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,(02)25433535,台北市中山區中山北路2段92號
台北市,抗百步蛇毒血清,振興醫療財團法人振興醫院,(02)28264400,台北市北投區振興街45號
台北市,抗百步蛇毒血清,國立臺灣大學醫學院附設醫院,(02)23123456,台北市中正區東門里中山南路7號
台北市,抗百步蛇毒血清,新光醫療財團法人新光吳火獅紀念醫院,(02)28332211,台北市士林區福佳里文昌路95號
台北市,抗百步蛇毒血清,臺北榮民總醫院,(02)28757437,台北市北投區永欣里石牌路2段201號
台北市,抗雨傘節及飯匙倩蛇毒血清,三軍總醫院附設民眾診療服務處,(02)87923311,台北市内湖區成功路2段325號
台北市,抗雨傘節及飯匙倩蛇毒血清,台灣基督長老教會馬偕醫療財團法人馬僧紀念醫院,(02)25433535,台北市中山區中山北路2段92號
台北市,抗雨傘節及飯匙倩蛇毒血清,振興醫療財團法人振興醫院,(02)28264400,台北市北投區振興街45號
台北市,抗雨傘節及飯匙倩蛇毒血清,國立臺灣大學醫學院附設醫院,(02)23123456,台北市中正區東門里中山南路7號
台北市,抗雨傘節及飯匙倩蛇毒血清,國泰醫療財團法人國泰綜合醫院,(02)27082121,台北市大安區仁愛路4段280號
台北市,抗雨傘節及飯匙倩蛇毒血清,新光醫療財團法人新光吳火獅紀念醫院,(02)28332211,台北市士林區福佳里文昌路95號
台北市,抗雨傘節及飯匙倩蛇毒血清,臺北市立萬芳醫院-委託臺北醫學大學辦理,(02)29307930,台北市文山區興光里興隆路3段111号
台北市,抗雨傘節及飯匙倩蛇毒血清,臺北市立聯合醫院中興院區,(02)25523234,台北市大同區鄭州路145號
台北市,抗雨傘節及飯匙倩蛇毒血清,臺北市立聯合醫院忠孝院區,(02)27861288,台北市南港區同德路87號
台北市,抗雨傘節及飯匙倩蛇毒血清,臺北市立聯合醫院陽明院區,(02)28353456,台北市士林區岩山里雨聲街105號
台北市,抗雨傘節及飯匙倩蛇毒血清,臺北榮民總醫院,(02)28757437,台北市北投區永欣里石牌路2段201號
台北市,抗龜殼花及赤尾飴蛇毒血清,三軍總醫院附設民眾診療服務處,(02)87923311,台北市内湖區成功路2段325號
台北市,抗龜殼花及赤尾飴蛇毒血清,台灣基督長老教會馬偕醫療財團法人馬僧紀念醫院,(02)25433535,台北市中山區中山北路2段92號
台北市,抗龜殼花及赤尾飴蛇毒血清,振興醫療財團法人振興醫院,(02)28264400,台北市北投區振興街45號
台北市,抗龜殼花及赤尾飴蛇毒血清,國立臺灣大學醫學院附設醫院,(02)23123456,台北市中正區東門里中山南路7號
台北市,抗龜殼花及赤尾飴蛇毒血清,國泰醫療財團法人國泰綜合醫院,(02)27082121,台北市大安區仁愛路4段280號
台北市,抗龜殼花及赤尾飴蛇毒血清,新光醫療財團法人新光吳火獅紀念醫院,(02)28332211,台北市士林區福佳里文昌路95號
台北市,抗龜殼花及赤尾飴蛇毒血清,臺北市立萬芳醫院-委託臺北醫學大學辦理,(02)29307930,台北市文山區興光里興隆路3段111號
台北市,抗龜殼花及赤尾飴蛇毒血清,臺北市立聯合醫院中興院區,(02)25523234,台北市大同區鄭州路145號
台北市,抗龜殼花及赤尾飴蛇毒血清,臺北市立聯合醫院忠孝院區,(02)27861288,台北市南港區同德路87號
台北市,抗龜殼花及赤尾飴蛇毒血清,臺北市立聯合醫院陽明院區,(02)28353456,台北市士林區岩山里雨聲街105號
台北市,抗龜殼花及赤尾飴蛇毒血清,臺北榮民總醫院,(02)28757437,台北市北投區永欣里石牌路2段201號
台北市,抗龜殼花及赤尾飴蛇毒血清,臺北醫學大學附設醫院,(02)27372181,台北市信義區雙和里吴興街252號
台北市,抗鎖鏈蛇毒血清,臺北市立萬芳醫院-委託臺北醫學大學辦理,(02)29307930,台北市文山區興光里興隆路3段111号
台北市,抗鎖鏈蛇毒血清,臺北榮民總醫院,(02)28757437,台北市北投區永欣里石牌路2段201號
