序號,橋梁名稱,轄區,管轄單位,管轄單位機關代碼,最近一期檢測年度,檢測結果,最近一期維護年度,委託維修單位,年度維修經費金額,維修結果
1,社教館人行地下道,松山區,新建工程處,379110100G,111,安全可通行,,新建工程處,,安全可通行
2,新民權人行地下道,內湖區,新建工程處,379110100G,111,安全可通行,,新建工程處,,安全可通行
3,經貿園區PC06人行地下道,南港區,新建工程處,379110100G,111,安全可通行,,新建工程處,,安全可通行
4,經貿園區PC07人行地下道,南港區,新建工程處,379110100G,111,安全可通行,,新建工程處,,安全可通行
5,中信連通道人行地下道,南港區,新建工程處,379110100G,112,安全可通行,,新建工程處,,安全可通行
6,南港向陽人行天橋,南港區,新建工程處,379110100G,111,安全可通行,110,新建工程處,,安全可通行
7,玉成國小人行天橋,南港區,新建工程處,379110100G,112,安全可通行,108,新建工程處,,安全可通行
8,南港國中人行天橋,南港區,新建工程處,379110100G,112,安全可通行,110,新建工程處,,安全可通行
9,成美長壽人行天橋,南港區-內湖區,新建工程處,379110100G,111,安全可通行,108,新建工程處,,安全可通行
10,明湖國小人行天橋,內湖區,新建工程處,379110100G,112,安全可通行,100,新建工程處,,安全可通行
11,南湖國小人行天橋,內湖區,新建工程處,379110100G,112,安全可通行,109,新建工程處,,安全可通行
12,行善人行天橋,內湖區,新建工程處,379110100G,111,安全可通行,112,新建工程處,7103513,安全可通行
13,彩虹人行天橋,松山區-內湖區,新建工程處,379110100G,112,安全可通行,106,新建工程處,,安全可通行
14,中信園區AC人行天橋,南港區,新建工程處,379110100G,112,安全可通行,,新建工程處,,安全可通行
15,中信園區(南)人行天橋,南港區,新建工程處,379110100G,112,安全可通行,,新建工程處,,安全可通行
16,中信園區(北)人行天橋,南港區,新建工程處,379110100G,112,安全可通行,,新建工程處,,安全可通行
17,中信園區AB人行天橋,南港區,新建工程處,379110100G,112,安全可通行,,新建工程處,,安全可通行
18,大湖華閱通道人行天橋,內湖區,新建工程處,379110100G,112,安全可通行,,新建工程處,,安全可通行
19,小巨蛋鋼樓梯人行天橋,松山區,新建工程處,379110100G,112,安全可通行,,新建工程處,,安全可通行
20,環東高架,內湖區-南港區,新建工程處,379110100G,112,安全可通行,112,新建工程處,1716967,安全可通行
