類別,序號,抽驗日期,來源廠商,產品名稱,檢驗結果,標示及登錄查核結果
111年度市售開架式保養品微生物抽驗結果,1,20210315,沃盛股份有限公司,碧歐斯BIO金萃黃金精華露,合格,不符合規定
111年度市售開架式保養品微生物抽驗結果,2,20210315,日藥本舖股份有限公司,CLUB男性保濕護膚霜50克,合格,符合規定
111年度市售開架式保養品微生物抽驗結果,3,20210315,日藥本舖股份有限公司,MANUP近江水鏡高保潤乳霜50g,合格,符合規定
111年度市售開架式保養品微生物抽驗結果,4,20210315,台灣曼秀雷敦股份有限公司,肌研極潤金緻特濃保濕精華水,合格,符合規定
111年度市售開架式保養品微生物抽驗結果,5,20210315,統一藥品股份有限公司,雅漾活泉水50m保濕精華組,合格,符合規定
111年度市售開架式保養品微生物抽驗結果,6,20210315,台灣屈臣氏個人用品商店股份有限公司,麗得姿益生奇積舒敏保濕安瓶精華,合格,不符合規定
111年度市售開架式保養品微生物抽驗結果,7,20210315,法?麗國際股份有限公司,AQUALABEL水之印健康浸透化妝水(清爽),合格,不符合規定
111年度市售開架式保養品微生物抽驗結果,8,20210401,歐姬兒股份有限公司,OZIO蜂王乳凝露,合格,不符合規定
111年度市售開架式保養品微生物抽驗結果,9,20210401,聯合利華股份有限公司,凡士林蘆薈舒緩潤膚露,合格,不符合規定
111年度市售開架式保養品微生物抽驗結果,10,20210401,嬌生(股)有限公司,艾惟諾燕麥活力保濕乳,合格,符合規定
111年度市售開架式保養品微生物抽驗結果,11,20210401,海門行銷服務有限公司,Nature Face+99%蘆薈保濕舒緩凝膠(300ml),合格,符合規定
111年度市售開架式保養品微生物抽驗結果,12,20210401,誠馨股份有限公司,Masque BAR 虎虎生風發光面膜,合格,符合規定
111年度市售開架式保養品微生物抽驗結果,13,20210401,利百美興業股份有限公司,施巴潤膚乳液,合格,不符合規定
111年度市售開架式保養品微生物抽驗結果,14,20210401,台灣屈臣氏個人用品商店股份有限公司,三胜+VITAMINA緊實修護膠囊面膜,合格,不符合規定
112年度網路價購止汗制臭劑檢驗結果,15,20230428,台灣妮維雅股份有限公司,妮維雅止汗爽身乳液深層煥白系列,檢出Aluminum Chlorohydrate,符合規定
112年度網路價購止汗制臭劑檢驗結果,16,20230428,台灣屈臣氏個人用品商店股份有限公司,屈臣氏男士清涼止汗爽身(滾珠瓶),檢出Aluminum Chlorohydrate,符合規定
112年度網路價購止汗制臭劑檢驗結果,17,20230428,台灣星亞洲股份有限公司,愛迪達男用制汗香體滾珠(品味透涼),檢出Aluminum Chlorohydrate,符合規定
112年度網路價購止汗制臭劑檢驗結果,18,20230428,聯合利華股份有限公司,蕊娜制汗爽身香體露(清新舒棉),檢出Aluminum Chlorohydrate,符合規定
112年度網路價購止汗制臭劑檢驗結果,19,20230502,台灣蝶翠詩化粧品股份有限公司,止汗爽身凝露,檢出Aluminum Chlorohydrate,不符合規定
112年度網路價購止汗制臭劑檢驗結果,20,20230428,賣家帳號:fraternalparty/廖O穎,德德維芙凈味狐臭露,檢出Aluminum Chlorohydrate,不符合規定
112年度網路價購止汗制臭劑檢驗結果,21,20230428,台灣雅芳股份有限公司,雅芳FF典雅花香制汗體香劑,檢出Aluminum Chlorohydrate,符合規定
112年度網路價購止汗制臭劑檢驗結果,22,20230428,台灣漢高股份有限公司,Fa綠茶清新 止汗爽身露 滾珠瓶,檢出Aluminum Chlorohydrate,符合規定
112年度網路價購止汗制臭劑檢驗結果,23,20230212,安麗日用品股份有限公司,G&H 白茶體香劑,檢出Aluminum Chlorohydrate,符合規定
112年度網路價購止汗制臭劑檢驗結果,24,20230428,賣家帳號:teresahia/久可久米有限公司,黃糖清香滾珠止汗劑,檢出Aluminum Chlorohydrate,不符合規定
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,25,20240416,台灣鐘紡化粧品股份有限公司,凱婷 零瑕肌密高遮瑕BB霜(保濕),合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,26,20240416,統一藥品股份有限公司,珂莉奧 就是水嫩CC 粉紅包裝版,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,27,20240416,台灣鐘紡化粧品股份有限公司,媚點 自然光感美肌BB霜01 (亮膚色),合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,28,20240415,台灣鐘紡化粧品股份有限公司,ALLIE 持采UV高效防曬水凝乳EX,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,29,20240415,台灣高絲股份有限公司,SUNCUT UV曬可皙 高效防曬隔離凝露(極效防水型),合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,30,20240415,達爾膚生醫科技股份有限公司,DR.WU超完美保濕DD霜 (自然色) ,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,31,20240502,法?麗國際股份有限公司,勻透亮顏CC霜 SPF30·PA+++,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,32,20240502,百陸達股份有限公司,SANA 毛孔職人無瑕亮白BB霜/明亮膚,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,33,20240502,儷妍實業股份有限公司,Divinia 零負擔 水感BB防曬乳 SPF50+★★★★,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,34,20240510,愛茉莉太平洋股份有限公司,向日葵完美清爽防曬霜 SPF50+ PA++++,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,35,20240510,台灣曼秀雷敦股份有限公司,曼秀雷敦水潤肌超保濕極效防禦防曬精華,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,36,20240510,統一藥品股份有限公司,珂莉奧 就是水嫩BB霜 粉紅包裝版,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,37,20240510,超啟有限公司,L'EGERE 橙花原液保濕BB霜 SPF25,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,38,20240510,肇威股份有限公司,礦物美肌BB霜-健康,合格,-
113年度BB、 CC、DD霜等防曬用途化粧品之防曬成分抽驗結果,39,20240613,花王（台灣）股份有限公司,Bior含水防曬幻光水凝乳－薰衣草紫,合格,-
113年度化粧品聯合稽查計畫,40,20240904,杏豐實業股份有限公司,re:mind極潤洗髮沐浴露200ml,-,符合規定
113年度化粧品聯合稽查計畫,41,20240904,杏豐實業股份有限公司,原生脂嬰兒柔緻洗髮精200ml,-,符合規定
113年度化粧品聯合稽查計畫,42,20240904,漫延有限公司,羊脂膏,-,符合規定
113年度化粧品聯合稽查計畫,43,20240904,安永成生技股份有限公司,山茶花之孕撫紋霜,-,不符合規定
113年度化粧品聯合稽查計畫,44,20240904,芙亞國際股份有限公司,媽咪莉娜乳尖修護膏,-,符合規定
113年度化粧品聯合稽查計畫,45,20240903,媽媽餵股份有限公司,Mamaway嬰兒洗髮沐浴露,-,不符合規定
113年度化粧品聯合稽查計畫,46,20240903,媽媽餵股份有限公司,Mamaway彈力美膚油,-,符合規定
113年度化粧品聯合稽查計畫,47,20240903,媽媽餵股份有限公司,Mamaway嬰兒B5修護屁屁霜,-,不符合規定
113年度化粧品聯合稽查計畫,48,20240902,寶捷實業有限公司,美德樂純羊脂膏2.0,-,符合規定
113年度化粧品聯合稽查計畫,49,20240902,芙亞國際股份有限公司,媽咪莉娜美肌緊緻乳,-,符合規定
113年度化粧品聯合稽查計畫,50,20240902,世潮企業股份有限公司,貝親天然羊脂膏,-,符合規定
113年度化粧品聯合稽查計畫,51,20240902,保瑞聯邦股份有限公司,歐蜂舒緩凝露,-,符合規定
113年度化粧品聯合稽查計畫,52,20240902,保瑞聯邦股份有限公司,布瓦宏金盞花雪花霜,-,符合規定
113年度化粧品聯合稽查計畫,53,20240905,世潮企業股份有限公司,嬰兒護膚霜,-,符合規定
113年度化粧品聯合稽查計畫,54,20240905,世潮企業股份有限公司,貝親嬰兒護膚油,-,符合規定
113年度化粧品聯合稽查計畫,55,20240905,世潮企業股份有限公司,貝親嬰兒潤膚乳液,-,符合規定
113年度化粧品聯合稽查計畫,56,20240905,世潮企業股份有限公司,桃葉爽身乳液,-,符合規定
113年度化粧品聯合稽查計畫,57,20240905,世潮企業股份有限公司,洋甘菊二合一洗髮沐浴乳,-,符合規定
113年度化粧品聯合稽查計畫,58,20240911,創達生技股份有限公司,美國UNID U寶淨膚慕斯,-,符合規定
113年度化粧品聯合稽查計畫,59,20240911,貝恩企業有限公司,貝恩嬰兒洗髮精,-,符合規定
113年度化粧品聯合稽查計畫,60,20240911,香港商高德美有限公司台灣分公司,舒特膚Baby 舒緩潤膚乳,-,符合規定
113年度化粧品聯合稽查計畫,61,20240911,台灣莎羅雅股份有限公司,arau.baby 愛樂寶寶貝無添加2合1洗髮沐浴泡泡,-,符合規定
113年度化粧品聯合稽查計畫,62,20240911,漫延有限公司,舒敏潤膚霜,-,符合規定
