序號,行政區域代碼,醫院名稱,住址,醫院層級
1,63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,醫學中心
2,63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,醫學中心
3,63000050,國立臺灣大學醫學院附設醫院,臺北市中正區中山南路7號,醫學中心
4,63000030,國泰醫療財團法人國泰綜合醫院,臺北市仁愛路四段280號,醫學中心
5,63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,醫學中心
6,63000080,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,臺北市文山區興隆路3段111號,醫學中心
7,63000120,臺北榮民總醫院,臺北市北投區石牌路2段201號中正樓11樓618室(新陳代謝科),醫學中心
8,63000050,臺北市立聯合醫院和平婦幼院區,臺北市中正區中華路二段33號,區域醫院
9,63000060,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,區域醫院
10,63000010,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路2段424號,區域醫院
11,63000030,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,區域醫院
12,63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252號,區域醫院
13,63000110,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,區域醫院
14,63000120,振興醫療財團法人振興醫院,臺北市北投區振興街45號,區域醫院
15,63000090,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,區域醫院
16,63000040,臺北市立聯合醫院林森中醫昆明院區,臺北市中山區林森北路530號,地區醫院
17,63000030,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段61號,地區醫院
18,63000030,中心診所醫療財團法人中心綜合醫院,臺北市忠孝東路四段77號,地區醫院
19,63000070,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,地區醫院
20,63000070,西園醫療社團法人西園醫院,臺北市萬華區西園路2段270號,地區醫院
21,63000120,臺北市立關渡醫院－委託臺北榮民總醫院經營,臺北市北投區關渡里知行路225巷12號,地區醫院
22,63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,地區醫院
23,63000100,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,地區醫院
24,63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號 糖尿病衛教室,診所
25,63000010,朱家庭醫學科診所,臺北市松山區八德路三段12巷57弄39之1號,診所
26,63000030,沈德昌診所,臺北市大安區四維路189號,診所
27,63000020,松山班廷建興診所,臺北市信義區市民大道六段318號,診所
28,63000120,榮陽安心診所,臺北市北投區自強街168號,診所
