時間,區,村里,村里代碼,年齡區間,性別,案件類型,總計
105年1月,士林區,不明,不明,12-未滿18歲,2,兒少保護,1
105年1月,士林區,不明,不明,12-未滿18歲,1,兒少保護,1
105年1月,士林區,不明,不明,18-未滿20歲,2,其他家虐,2
105年1月,士林區,不明,不明,20-未滿40歲,2,其他家虐,5
105年1月,士林區,不明,不明,20-未滿40歲,2,非保護性案件,1
105年1月,士林區,不明,不明,20-未滿40歲,2,婚姻暴力,12
105年1月,士林區,不明,不明,20-未滿40歲,1,其他家虐,5
105年1月,士林區,不明,不明,40-未滿65歲,2,其他家虐,2
105年1月,士林區,不明,不明,40-未滿65歲,2,非保護性案件,1
105年1月,士林區,不明,不明,40-未滿65歲,2,婚姻暴力,16
105年1月,士林區,不明,不明,40-未滿65歲, ,婚姻暴力,1
105年1月,士林區,不明,不明,40-未滿65歲,1,非保護性案件,2
105年1月,士林區,不明,不明,40-未滿65歲,1,婚姻暴力,4
105年1月,士林區,不明,不明,65歲以上,2,老人虐待,2
105年1月,士林區,不明,不明,65歲以上,2,婚姻暴力,2
105年1月,士林區,不明,不明,65歲以上,1,老人虐待,1
105年1月,士林區,不明,不明,65歲以上,1,婚姻暴力,3
105年1月,士林區,不明,不明,6-未滿12歲,2,非保護性案件,1
105年1月,士林區,不明,不明,6-未滿12歲,1,兒少保護,1
105年1月,士林區,天山里,63000110040,40-未滿65歲,2,婚姻暴力,1
105年1月,士林區,天山里,63000110040,6-未滿12歲,2,非保護性案件,1
105年1月,士林區,天和里,63000110039,20-未滿40歲,2,婚姻暴力,1
105年1月,士林區,天祿里,63000110037,40-未滿65歲,1,其他家虐,1
105年1月,士林區,平等里,63000110048,20-未滿40歲,1,其他家虐,1
105年1月,士林區,永倫里,63000110022,40-未滿65歲,1,婚姻暴力,1
105年1月,士林區,岩山里,63000110025,65歲以上,1,婚姻暴力,1
105年1月,士林區,忠誠里,63000110030,40-未滿65歲,2,非保護性案件,1
