年度,災情名稱,成立時間,撤除時間,災情
107,0909水災,107年9月9日9時30分,107年9月9日13時,"總計受理案件：17件
土石崩落：7件
建物輕微受損：2件
路樹傾倒：2件
道路路基流失/坑洞：1件
房屋積淹水：2件
地下道積淹水：1件"
108,0418地震,108年4月18日13時,108年4月18日15時30分,"總計受理案件：57件
火災：1件
變電所、電廠受損：1件
電力停電：4件
自來水停水：6件
自來水漏水：1件
路燈故障：3件
瓦斯管線毀損：3件
電線桿或纜線毀損：2件
其他災情：11件
輕微建物受損：18件
圍牆(籬)倒塌：1件
路樹傾倒：1件
道路路基流失：2件
前述以外之道路、隧道災情：1件"
108,0520水災,108年5月20日7時20分,108年5月20日17時50分,"總計受理案件：81件
路樹傾倒：7
道路路基流失：2件
前述以外道路隧道災情：5件
房屋積淹水：9件
道路積淹水：43件
地下道積淹水：4件
前述以外積淹水：7件
土石流：1件
土石崩落：1件
交通號誌損壞：1件
前述以外其他災情：1件"
108,0527水災,108年5月27日13時48分,108年5月27日14時30分,"總計受理案件：3件
道路積淹水：3件"
108,0702水災,108年7月2日15時35分,108年7月2日17時,"總計受理案件：20件
路燈故障：1件
電線桿或纜線毀損：1件
路樹傾倒：2件
道路路基流失：1件
房屋積淹水：4件
前述以外積淹水災情：3件
道路積淹水：7件
地下道積淹水：1件"
108,0821水災,108年8月21日15時10分,108年8月21日17時,"總計受理案件：34件
房屋積淹水：4件
道路積淹水：29件
地下道積淹水：1件"
110,1024地震,110年10月24日13時26分,110年10月24日16時40分,"總計受理案件：31件
瓦斯漏氣：6件
路燈故障：1件
電線(桿)或纜線毀損：1件
自來水災情：4件
電力停電：2件
建物輕微受損：13件
橋梁災情：2件
前述以外其他災情：2件"
111,0103地震,111年1月3日17時57分,111年1月3日21時,"總計受理案件：31件
自來水漏水：1件
路燈故障：2件
自來水停水：14件
電力停電：2件
建物輕微受損：9件
前述以外其他災情：3件"
111,1017尼莎颱風,111年10月16日15時6分,111年10月16日22時,"總計受理案件200件
廣告招牌災情：1件
其他災情：6件
土石災情16件
路樹災情：24件
水利設施：4件
道路、隧道：17件
環境污染：2件
民生、基礎設施：22件
積淹水災情：105件
建物毀損：3件"
112,0623水災,112年6月23日15時17分,112年6月23日18時,"總計受理案件10件
路樹傾倒：2件
房屋積淹水：1件
房屋積淹水：7件"
112,0810水災,112年8月10日15時49分,112年8月10日18時10分,"總計受理案件77件
道路積淹水：62件
房屋積淹水：7件
交通號誌損壞4件
道路隧道災情4件"
112,1004小犬颱風,112年10月4日9時,112年10月5日18時,"總計受理案件56件
交通號誌損壞：4件
路燈故障：1件
電線(桿)或纜線毀損2件
建物輕微受損：2件
路樹傾倒：41件
道路邊坡坍方/落石：2件
道路積淹水：1件
其他災情：3件"
113,0418水災,113年4月18日7時6分,113年4月18日10時15分,"總計受理案件：24件
電力停電：1件
交通號誌損壞：1件
建物輕微受損：1件
路樹傾倒：5件
道路(地區)積淹水：16件"
113,0922水災,113年9月22日22時,113年9月23日1時30分,"總計受理案件：48件
土石崩落：3件
電線(桿)或纜線毀損：1件
建物輕微受損：1件"
114,0805水災,114年8月5日12時44分,114年8月5日14時30分,"總計受理案件：12件
交通號誌損壞：5件
積淹水災情：3件
其他(人孔蓋位移)：4件"
114,1227地震,114年12月27日23時20分,114年12月28日2時15分,"總計受理案件：39件
瓦斯管線毀損(漏氣)：9件
自來水停水、漏水：14件
交通號誌損壞：1件
圍牆(籬)倒塌：2件
建物輕微受損：6件
電梯受困：2件
屋內門受損：4件
水塔傾斜：1件"
