年度,災害名稱,成立時間,撤除時間,災情
81,芭比(Bobbie)颱風(中度),81年6月27日22時,81年6月28日15時,無
81,寶莉(Polly)颱風(輕度),81年8月29日10時,81年8月31日10時,"路樹傾倒8棵
招牌掉落5件
電線吹落2件
交通號誌損壞1件
電線桿傾倒1件"
81,歐馬(Omar)颱風(中度),81年9月3日23時,81年9月5日10時,"輕傷1人
路樹傾倒705棵
交通號誌損壞13件"
81,泰德(Ted)颱風(輕度),81年9月22日10時30分,81年9月23日10時10分,無
82,楊希(Yancy)颱風(強烈),82年9月1日11時,82年9月2日10時,無
83,提姆(Tim)颱風(強烈),83年7月10日18時30分,83年7月11日16時,"輕傷11人
路樹傾倒約33,159棵
停電約45萬戶
路燈停電33,000盞
交通號誌損壞225處
電線掉落37件
招牌掉落46件
其他災害113件"
83,道格(Doug)颱風(強烈),83年8月10日3時,83年8月11日21時,"輕傷22人
停電約8,000戶
停話9,857戶
路樹吹倒17,173棵
房屋半倒1間
路燈失明21,168盞
交通號誌損壞212處
招牌掉落46件
其他災害113件"
83,弗雷特(Rred)颱風(強烈),83年8月19日3時,83年8月21日上午,"停電約11,000戶
停話500戶
路樹吹倒約1,550棵
交通號誌損壞20處
招牌掉落36件"
83,葛拉絲(Gladys)颱風(中度),83年8月31日22時,83年9月1日20時20分,"輕傷16人
停電約60,000戶
停話23,000戶
路樹吹倒約9,300棵
交通號誌損壞87處
招牌掉落28件
山坡落石砸破民房牆壁1件
其他災害17件"
83,席斯(Seth)颱風(強烈),83年10月8日16時,83年10月9日8時,"死亡2人、輕傷2人
坍方1處
積水2處
停電126,000戶
停話4,477戶
房屋全倒1間
路樹損壞約7,346棵
交通號誌損壞38處
招牌掉落20件
其他災害28件"
84,賴恩(Ryan)颱風(中度),84年9月21日13時20分,84年9月23日0時50分,無
85,賀伯(Herb)颱風(強烈),85年7月30日8時30分,85年8月1日21時40分,"重傷28人、輕傷348人
房屋全倒4間、半倒40間
停電79,513戶
停話1,146戶
停水21,995戶
路樹傾倒3,721棵
交通號誌損壞241件"
86,溫妮(Winnie)颱風(中度),86年8月17日7時30分,86年8月19日7時,"死亡10人、輕傷31人
房屋全倒1戶、半倒2戶
停電1,500戶
停話9,175戶
農田損失170公頃
農作物損失：士林社子蔬菜50公頃、洲美再生稻120公頃
坍方12處
淹水地區13處(約658戶)
路樹全倒261棵、半倒301棵"
86,安珀(Amber)颱風(中度),86年8月28日6時,86年8月30日1時30分,"輕傷24人
房屋半倒1戶、屋頂損壞1戶、停電4,300戶、電線掉落10處、停話2,877戶
招牌掉落280處
坍方1處、淹水地區11處
路樹全倒1,123棵、半倒847棵
自來水管破裂一處
交通號誌損壞17處
路燈損壞5,735盞"
87,奧托(Otto)颱風(輕度),87年8月4日4時30分,87年8月5日3時30分,無
87,楊妮(Yanni)颱風(輕度),87年9月28日1時30分,87年9月29日11時,"路樹半倒1棵
交通號誌損壞3件、道路受損2件
積水17處、坍方5處
電線桿損壞1件、變電箱故障2件"
87,瑞伯(Zeb)颱風(強烈),87年10月15日4時30分,87年10月17日10時30分,"(10/16停止辦公上課)
死亡5人、輕傷10人
房屋半倒5戶
停電15,000戶、電線(桿)損壞50件
停話20,618戶
招牌掉落23處
坍方43處
淹水地區240處、約692戶
路樹全倒5,094棵、半倒2,453棵
交通號誌損壞31件、路燈故障13,688盞
農田損失50公頃
垃圾清運300噸
其他災害71件(豬死亡流失100頭)"
