項次編號,行政區代碼,里別,列管名稱,列管要件,搶救困難地區場所,轄區分隊,聯絡電話
1,63000050,富水里,永春街,火災搶救困難地區,磚木造平房,古亭分隊,(02)23633293
2,63000050,螢雪里,詔安街部分路段,火災搶救困難地區,磚木造平房,泉州分隊,(02)23374679
3,63000050,板溪里,晉江街,火災搶救困難地區,磚木造平房,古亭分隊,(02)23633293
4,63000050,幸福里,齊東街53巷及齊東街70巷,火災搶救困難地區,木造建築物,城中分隊,(02)23812839
5,63000050,幸福里,齊東街,火災搶救困難地區,一般住宅區,城中分隊,(02)23812839
6,63000050,光復里,武昌街1段16巷,火災搶救困難地區,城中市場,城中分隊,(02)23812839
7,63000050,文祥里、三愛里,臨沂街（52號至信義路口）,火災搶救困難地區,住商混合區,城中分隊,(02)23812839
8,63000050,梅花里,紹興北街31巷,火災搶救困難地區,臺北市私立一心老人養護所,城中分隊,(02)23812839
9,63000050,梅花里,忠孝東路1段49巷,火災搶救困難地區,臺北市私立一心老人養護所,城中分隊,(02)23812839
10,63000050,林興里,汀州路3段27巷,囊底路,囊底路,古亭分隊,(02)23633293
11,63000050,林興里,羅斯福路3段128巷,社區參與,社區參與,古亭分隊,(02)23633293
12,63000050,文北里,泰安街1巷,社區參與,社區參與,城中分隊,(02)23812839
13,63000080,試院里,試院路單號巷道(9-33號）,火災搶救困難地區,住宅,寶橋分隊,(02)29395140
14,63000080,華興里,試院路雙號4巷,火災搶救困難地區,集合住宅,寶橋分隊,(02)29395140
15,63000080,華興里,木柵路1段260巷,火災搶救困難地區,光明戲院,寶橋分隊,(02)29395140
16,63000080,試院里,和興路6巷,火災搶救困難地區,集合住宅,寶橋分隊,(02)29395140
17,63000080,樟樹里,木新路3段172巷,火災搶救困難地區,集合住宅,寶橋分隊,(02)29395140
18,63000080,景美里,萬慶街27號前,火災搶救困難地區,潤泰台大御花園大樓,景美分隊,(02)29311405
19,63000080,興安里,仙岩路22巷7號、13號前,火災搶救困難地區,王者鄉大廈A棟、C棟,萬芳分隊,(02)22305720
20,63000080,興家里,興隆路3段255巷連通同巷6弄,囊底路,囊底路,木柵分隊,(02)29391604
21,63000080,萬興里,新光路1段66巷,囊底路,囊底路,木柵分隊,(02)29391604
22,63000070,新安里,萬大路137巷至187巷　,火災搶救困難地區,一般住宅,雙園分隊,(02)23053374
23,63000070,糖部里,大理街159巷及175巷部分路段,火災搶救困難地區,財團法人臺北市私立愛愛院,雙園分隊,(02)23053374
24,63000070,富民里,貴陽街2段164巷,火災搶救困難地區,傳統市場,龍山分隊,(02)23122496
25,63000070,富民里、福音里,和平西路三段51巷,火災搶救困難地區,三水街市場,龍山分隊,(02)23122496
26,63000070,新安里,雙和街31巷,火災搶救困難地區,傳統市場,雙園分隊,(02)23053374
27,63000070,保德里,德昌街125巷,火災搶救困難地區,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,雙園分隊,(02)23053374
28,63000070,雙園里,西藏路424號旁巷道,火災搶救困難地區,集合住宅,雙園分隊,(02)23053374
29,63000070,騰雲里,中華路2段596巷,火災搶救困難地區,萬華醫院,雙園分隊,(02)23053374
30,63000030,通化里,通化街39巷,火災搶救困難地區,臨江街夜市,安和分隊,(02)27094191
31,63000030,學府里,基隆路3段155巷,火災搶救困難地區,眷村,金華分隊,(02)23917653
32,63000030,全安里,安和路2段189巷,社區參與,社區參與,安和分隊,(02)27094191
33,63000030,黎和里,和平東路3段632巷,囊底路,囊底路,安和分隊,(02)27094191
34,63000030,永康里,永康街2巷,社區參與,社區參與,金華分隊,(02)23917653
35,63000030,福住里,永康街23巷,長巷道,長巷道,金華分隊,(02)23917653
36,63000030,龍生里,瑞安街244巷,長巷道,長巷道,金華分隊,(02)23917653
37,63000030,龍淵里,辛亥路2段171巷及同巷6弄(麗園大廈),火災搶救困難地區,麗園大廈,金華分隊,(02)23917653
38,63000030,群賢里,四維路170巷起至189號(藍天大廈、凱悅大廈),火災搶救困難地區,藍天大廈、凱悅大廈,安和分隊,(02)27094191
39,63000030,仁愛里,大安路1段83巷,社區參與,社區參與,安和分隊,(02)27094191
40,63000030,仁愛里,大安路1段119巷,社區參與,社區參與,安和分隊,(02)27094191
41,63000030,龍坡里,泰順街33巷,社區參與,社區參與,金華分隊,(02)23917653
42,63000030,龍泉里,雲和街75巷及泰順街44巷,社區參與,社區參與,金華分隊,(02)23917653
43,63000030,龍泉里,師大路59巷,火災搶救困難地區,火災搶救困難地區,金華分隊,(02)23917653
44,63000030,龍泉里,和平東路1段188巷,社區參與,社區參與,金華分隊,(02)23917653
45,63000030,誠安里,忠孝東路3段251巷14弄,社區參與,社區參與,金華分隊,(02)23917653
46,63000090,成福里,成福路149巷5弄接成福路121巷,囊底路,囊底路,成德分隊,(02)26518983
47,63000090,中南里,中南街134巷,火災搶救困難地區,老舊社區,舊莊分隊,(02)27831453
48,63000020,永吉里,永吉路443至491號　,火災搶救困難地區,五分埔市場,信義分隊,(02)27588864
49,63000020,泰和里,吳興街600巷及同巷98弄、100弄,火災搶救困難地區及囊底路,吳興街狹小巷道及囊底路,莊敬分隊,(02)27581575
50,63000020,中坡里中行里,福德街221、251巷,火災搶救困難地區,集合住宅,信義分隊,(02)27588864
51,63000020,國業里,松德路25巷,火災搶救困難地區,松德團體家庭、松德第二團體家庭,信義分隊,(02)27588864
52,63000020,富台里,忠孝東路5段423巷4弄,社區參與,社區參與,信義分隊,(02)27588864
53,63000020,松光里,松山路465巷14弄,社區參與,社區參與,信義分隊,(02)27588864
54,63000020,惠安里,吳興街432巷接吳興街524巷,長巷道,長巷道,莊敬分隊,(02)27581575
55,63000020,中興里,嘉興街8至36號,社區參與,社區參與,信義分隊,(02)27588864
56,63000020,六合里,信義路5段150巷477-497號,囊底路,囊底路,莊敬分隊,(02)27581575
57,63000020,景勤里黎順里,信安街103巷,長巷道,長巷道,莊敬分隊,(02)27581575
58,63000020,六合里,紫雲街及祥雲街,長巷道,長巷道,莊敬分隊,(02)27581575
59,63000100,樂康里,康樂街61巷,火災搶救困難地區,康樂街61巷,東湖分隊,(02)26325393
60,63000100,安泰里,安泰街自45巷至54巷間,火災搶救困難地區,安泰街一帶,東湖分隊,(02)26325393
61,63000100,安泰里,安泰街45巷14弄,火災搶救困難地區,安泰街一帶,東湖分隊,(02)26325393
62,63000100,安泰里,安泰街45巷內,火災搶救困難地區,安泰街一帶,東湖分隊,(02)26325393
63,63000100,樂康里,安泰街38巷內,火災搶救困難地區,安泰街一帶,東湖分隊,(02)26325393
64,63000100,安泰里,安泰街68巷內,火災搶救困難地區,安泰街一帶,東湖分隊,(02)26325393
65,63000100,安泰里,安泰街87號至93號,火災搶救困難地區,安泰街一帶,東湖分隊,(02)26325393
66,63000100,安泰里,安泰街129巷內,火災搶救困難地區,安泰街一帶,東湖分隊,(02)26325393
67,63000100,安泰里,安泰街65巷,火災搶救困難地區,安泰街一帶,東湖分隊,(02)26325393
