序號,縣市,鄉鎮市,公私立,園名,車牌號碼,廠牌型號,出廠年月,使用年限【統計數值】
1,臺北市,松山區,私立,臺北市私立童欣幼兒園,ANY7087,中華DE242LC2,16-Mar,10
2,臺北市,松山區,私立,臺北市私立正欣幼兒園,ATN1580,中華DE242LC2,17-Jan,10
3,臺北市,松山區,私立,臺北市私立嘉勝幼兒園,2906R8,中華DE242LC2,12-Aug,10
4,臺北市,松山區,私立,臺北市私立寶仁幼兒園,ATJ6037,中華,17-Apr,10
5,臺北市,松山區,私立,財團法人臺灣省臺南市天主教鮑思高慈幼會附設臺北市私立思高幼兒園,AJG2322,中華DE242LC2,14-Aug,10
6,臺北市,松山區,私立,財團法人臺灣省臺南市天主教鮑思高慈幼會附設臺北市私立思高幼兒園,BEE3391,中華DE242LC2,19-Aug,10
7,臺北市,松山區,私立,臺北市私立光華幼兒園,BFS2533,DE241LC2A,20-Aug,10
8,臺北市,松山區,私立,臺北市私立圓圓幼兒園,ATD6712,中華DE242LC2,17-May,10
9,臺北市,松山區,私立,臺北市私立格爾幼兒園,AKQ6332,DE242LC2,15-Jun,10
10,臺北市,松山區,私立,育達學校財團法人臺北市私立普林思頓高級中等學校附設臺北市私立點點幼兒園,1575YK,中華DE242LC2,11-Mar,10
11,臺北市,松山區,私立,育達學校財團法人臺北市私立普林思頓高級中等學校附設臺北市私立點點幼兒園,1576YK,中華DE242LC2,11-Mar,10
12,臺北市,松山區,私立,育達學校財團法人臺北市私立普林思頓高級中等學校附設臺北市私立點點幼兒園,AGC2533,中華DE242LC2,14-Jan,10
13,臺北市,信義區,私立,臺北市私立上群蒙特梭利忠孝幼兒園,2190J3,中華DE242LC2,11-Sep,10
14,臺北市,信義區,私立,臺北市私立信義蒙特梭利幼兒園,AAF1083,DE242LC2,12-Dec,10
15,臺北市,信義區,私立,臺北市私立傑生幼兒園,ANX3917,中華DE242LC2,16-Jan,10
16,臺北市,信義區,私立,財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗幼兒園,6438J5,中華DE242LC2,11-Dec,10
17,臺北市,信義區,私立,財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗幼兒園,ARE5593,中華DE242LC2,16-Mar,10
18,臺北市,信義區,私立,財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗幼兒園,ATD7105,中華DE242LC2,17-Apr,10
19,臺北市,信義區,私立,財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗幼兒園,AWZ7165,中華DE242LC2,18-Jan,10
20,臺北市,大安區,私立,臺北市私立格登幼兒園,AKQ6350,中華DE242LC2,15-Jun,10
21,臺北市,大安區,私立,財團法人臺北市私立蒙特梭利幼兒園,BBF2713,中華DE242LC2,19-May,10
22,臺北市,大安區,私立,臺北市私立菁英幼兒園,AGC9951,中華DE242LC2,14-Jan,10
23,臺北市,大安區,私立,臺北市私立勁寶兒幼兒園,AGL5302,中華DE242LC2,14-May,10
24,臺北市,大安區,私立,臺北市私立巧可麗國際幼兒園,AGN3225,中華DE242LC2,14-Aug,10
25,臺北市,大安區,私立,臺北市私立愛英幼兒園,ATC3326,中華DE242LC2,17-Jan,10
26,臺北市,大安區,私立,臺北市私立新生寶貝幼兒園,4017ZT,中華DE242LC2,10-Dec,10
27,臺北市,大安區,私立,臺北市私立新生寶貝幼兒園,AAF7850,DE242LC2,13-Jun,10
28,臺北市,大安區,私立,臺北市私立三暉幼兒園,ATH6387,中華DE242LC2,17-Oct,10
29,臺北市,大安區,私立,臺北市私立格林菲爾幼兒園,BFX0696,中華DE241LC2A,20-May,10
