序號,行政區,登山步道路線,總長M,單程步行時間min,步道分級,起點,起點經度座標,起點緯度座標,起點是否為階梯,迄點,迄點經度座標,迄點緯度座標,迄點是否為階梯,步道口是否有路擋,是否適合輪椅通行,輪椅可通行段平均坡度,輪椅可通行段長度M,行動電話通訊情形,是否有流動廁所,流動廁所位置,是否為無障礙廁所
1,內湖區,碧湖步道,1300,45,親子級,內湖路三段60巷12弄17號碧湖步道口(含入口意象),121.5925,25.088,是,大湖街131巷新福本坑出口(葉氏祖廟前)(含入口意象),121.5962,25.0908,是,否,否,無,0,可,否,無,無
2,內湖區,大溝溪溪畔步道,680,20,親子級,大湖山莊街底大溝溪公園涼亭外,121.5986,25.0887,是,鯉魚山50m處相接,121.5965,25.0927,是,否,否,無,0,可,是,迄點,否
3,內湖區,圓覺寺步道,1185,50,親子級,鯉魚山叉路,121.5965,25.094,是,峰碧塔門口,121.5919,25.0978,是,否,否,無,0,可,否,無,無
4,內湖區,鯉魚山步道,1065,50,親子級,碧山路,121.5963,25.0927,是,葉氏祖廟(含入口意象範圍),121.5893,25.0959,是,否,否,無,0,可,是,起、迄點,否
5,內湖區,碧山巖步道,346,20,親子級,碧山路23號,121.5878,25.0945,是,碧山巖,121.588,25.0972,是,否,否,無,0,可,否,無,無
6,內湖區,忠勇山步道,800,45,親子級,慈聖宮,121.585,25.093,是,忠勇山頂,121.5849,25.0983,是,否,否,無,0,可,否,無,無
7,內湖區,忠勇山越嶺步道,1660,60,親子級,碧山巖,121.5879,25.0972,是,金龍產業道路,121.5758,25.1003,是,否,否,無,0,可,是,迄點,否
8,內湖區,大崙尾山步道圓明寺支線,3180,120,親子級,大崙尾山打印台,121.5777,25.1056,是,湧泉寺(圓明寺門前),121.556,25.0993,是,否,否,無,0,可,否,無,無
9,內湖區,碧山露營場步道,86,10,親子級,碧山工作站前方岔路口,121.5805,25.1039,是,露營場,121.5798,25.1038,是,否,否,無,0,可,是,起點,否
10,內湖區,碧山露營場下方木棧道,272,15,親子級,碧山工作站前方岔路口,121.5805,25.1039,是,露營場┼串連道(枕木步道交會),121.58,25.1047,是,否,否,無,0,可,是,起點,否
11,內湖區,碧山露營場枕木步道,1088,30,親子級,碧山工作站,121.581,25.1041,是,營地側門,121.58,25.1043,是,否,否,無,0,可,是,起點,否
12,內湖區,白鷺鷥山步道,1845,70,親子級,老公祠福佑宮,121.6013,25.0753,是,金湖路268號進入(含入口意象範圍),121.6062,25.0785,是,否,否,無,0,可,是,迄點,否
13,內湖區,康樂山步道,1470,70,親子級,成功路5段山海寺牌樓,121.6072,25.0775,是,安泰街水源頭福德宮,121.6072,25.0775,是,否,否,無,0,可,是,迄點,否
