項次,裁處書日期,違規情節,罰鍰金額數,罰則註記
1,112/12/28,"緣受處分人係「OOOO診所（機構代碼：350102G725）」負責醫師，案係該診所於Facebook帳號「OOOO」（網址：：https://www.facebook.com/geoaesthetic/；本局下載日期：112年12月12日）刊登內容略以：「...現在只要到星創牙醫做指定冷光方案即可免費獲得#免疫力UP點滴#無暇抗衰點滴...年末美顏方案...EXCLUSIVE全面靚白特約計畫...ProjectA美齒冷光美白+免疫力UP點滴乙堂$19,999...ProjectB美齒冷光美白+免疫力UP點滴+無暇抗衰點滴$20,999...點滴療程由己研醫美施作......」，以暗示贈送、優惠等具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","50,000",醫療法第86條
2,112/12/27,受處分人為OOO婦產科診所(機構代碼：3501192528)負責醫師，案係民眾反映該診所藥師只上平日白天，晚上和假日會由護理師或行政人員包藥等云云。經本局稽查人員112年11月15日至該診所稽查，查有未具藥事人員資格者張O純及陳O金執行藥品調劑業務，並經當事人坦承屬實；經查衛生福利部醫事管理系統，受處分人診所容留未具藥師資格者執行調劑之情事，核已違反醫療法第57條第2項規定。,"50,000",醫療法第57條
3,112/12/18,受處分人為OOO整形外科診所(機構代碼：3501185354)負責醫師，案緣本局稽查人員111年12月13日至凱美力整形外科診所實地稽查管制藥品，現場查有病人吳O玲、李O庭111年1月23日病歷資料，受處分人未於病歷增刪處簽名或蓋章及註明年、月、日，未依規定載明上開事項，核已違反醫療法第68條第2項規定。,"10,000",醫療法第68條第2項
4,112/12/14,緣受處分人係「OOOO外科診所(機構代碼：3501108786)」負責醫師，案係本局稽查人員於112年10月4日至受處分人診所進行112年度提供美容醫學服務診所之專案稽查，查有病人陳Ｏ秀醫囑單紀錄112年7月15日邱偉哲醫師記載，聚焦探頭532處原記載0.3塗改，未見於增刪處簽名或蓋章及註明年、月、日。及微整形治療紀錄表施打日期：111年10月28日、112年2月27日及112年5月3日，醫助欄位治療紀錄護理師簽章皆以數字代號記載。病人俞Ｏ玉雷射治療紀錄表112年10月4日醫師欄位僅記載Dr彥/29。受處分人未督導其所屬醫事人員執行業務時，依規定製作病歷紀錄並簽名或蓋章等，核已違反醫療法第68條之規定。,"10,000",醫療法第68條第1項
5,112/12/13,緣受處分人係「OOOOOO」(機構代碼：0501160014)，經本局行政調查暨112年11月23日至該院辦理年度醫院督導考核，該院自111年4月14日至112年11月22日止，因病床數管理疏漏，致急性一般病床實際開放數與登記開放數不符，且未於事實發生之日起30日內辦理變更登記，核已違反醫療法第15條第1項規定。,"50,000",醫療法第15條第1項
6,112/12/11,緣受處分人OOO牙醫診所(機構代碼:3701014167)，案係本局於112年11月2日起不同時段至該診所實地查察，現場大門深鎖，門口張貼本府自來水事業處停水通知單，停水日期為112年9月8日；暨該診所負責人112年11月21日至本局說明該診所於112年4月起因診所大門被未提供醫療服務郵局，惟迄今仍未辦理停業或歇業，核已違反醫療法第23條第 1 項規定。,0,醫療法第23條第1項
7,112/12/07,緣受處分人於Facebook帳號「心理師的歡樂之旅」（網址：https://www.facebook.com/wahago/，本局下載日期：112年11月17日）刊登內容略以：「...價錢是我問過真的最便宜的，哇哈推廣優惠價...告訴診所你是waha方案...Waha方案16***禾馨19*** 台安18***...」，受處分人非醫療機構刊登醫療業務宣稱之廣告內容，核已違反醫療法第84條規定。,"50,000",醫療法第84條
8,112/12/07,受處分人係OO醫院負責醫師，經本局於112年10月17日至該院辦理年度醫院督導考核佐以衛生福利部中央健康保險署112年11月6日及112年11月9日來函，查獲該院護理人員應設5人，實設4人，且缺物理治療人員1名、職能治療人員1名、社會工作人員1名，不符合「慢性醫院設置標準表」規定。另2樓洗腎中心及3樓慢性病房皆已清空，無床位亦無相關設備，顯無法收治病人且未向本局申請變更登記，致血液透析病床及慢性一般病床與登記開放數不符。該院醫事人員設置數不符合醫療機構設置標準規定，且該院登記事項變更，未於事實發生之日30日內辦理變更登記，核已違反醫療法第12條第3項、第15條第1項規定。,"60,000",醫療法第12條第3項;醫療法第15條第1項
9,112/12/05,緣受處分人係「OOOO診所（機構代碼：35010OOOO2）」負責醫師，案係該診所於Facebook帳號「OOOO診所」（網址：https://www.facebook.com/OOOOi/及其分頁；本局下載日期：112年11月14日）及其分頁刊登內容略以：「...雙十一 11.11自由配【49800】 雙：神力拉提x4 / 藍鑽魚骨x8 (2選1) 十：玩美電波300發 / 彩蝶音波800條 (2選1) 一：仙女玻尿酸2cc / 保提拉肉毒200u (2選1) 3項加起來【49800】 ?十一美麗『價到...」，以暗示贈送、優惠等具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
10,112/12/04,"受處分人係「OOOO診所（機構代碼：35011OOOO）」負責醫師。案係民眾反映該診所於112年9月1日一次性收取20堂療程費用共11,1000元。經本局稽查人員112年11月7日至該診所查察，查有病人許ＯＯ醫療費用收據載有112年9月1日收取金額合計11,1000元，經檢視該病人病歷資料，分別於112年9月1日、同年9月4日、同年9月8日及同年9月11日於診所接受治療，另已退款預收費用4,8000。受處分人負責診所擅立收費項目，向民眾一次性收取醫療費用之情事，核已違反醫療法第22條第2項規定。","50,000",醫療法第22條第2項
11,112/12/04,緣受處分人係「OOO皮膚科診所（機構代碼：3501011108）」負責醫師，案係衛生福利部中央健康保險署於112年10月20日函轉受處分人負責診所112年10月12日提供就醫病人藥袋標示有「全民健康保險」標誌，惟該診所非中央健康保險署健保特約醫事服務機構，於診所藥袋標示全民健康保險標誌之不實資訊，核已違反醫療法第85條之規定。,"50,000",醫療法第85條
12,112/11/30,緣受處分人係「OO婦產科診所(機構代碼：350102E301)」負責醫師，案係該診所於（一）Facebook帳號「OO生殖醫學中心」（網址：https://www.facebook.com/story.php?story_fbid=759937586146949&id=100063921425607&mibextid=WC7FNe；本局下載日期：112年11月9日）刊登內容略以：「#OO五週年 #免費送 #養卵?即日起至11/30(四)止免費留言送養卵聖品...」；（二）LINE帳號「OO婦產科」（LINE ID : @hyivf ）刊載內容略以：「華育5週年好禮三部曲...免費諮詢得好康...來華育抽dyson...詳情請見華育FB專頁/IG...華育5周年預約諮詢抽dyson好禮...立即預約免費諮詢...免費諮詢，送養卵聖品...立即預約諮詢...凍胚諮詢預約抽dyson...」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"60,000",醫療法第86條
13,112/11/29,緣受處分人於Instagram（帳號名稱:momoco529）（網址:https://www.instagram.com/OOOO/）刊登限時動態內容略以：「小鳳凰電波超甜活動...小鳳凰電波：原價一發88元，900發為79200限量甜甜活動...限量加購：海芙音波300條17888...地點：寶儷國際美型診所...因為這次價格太漂亮！所以是限量的唷！超過數量就會換價格，可以好好把握一下囉。」，受處分人非醫療機構，意圖為醫療機構招徠醫療之廣告內容，已違反醫療法第84條規定。,"50,000",醫療法第84條
14,112/11/28,緣受處分人係「OOO診所（機構代碼：3501015482）」負責醫師，案係該診所於：（一）FB（網址：https://www.      facebook.com/OOOO；本局下載日期：112年11月3日）刊載內容略以：「...OOO慶開幕肉毒除皺$1288...雙十節快閃活動肉毒1區1010 ...」；（二）Instagram（網址：https://www.instagram.com/OOOO__/；本局下載日期：112年11月3日）刊登內容略以：「...肉毒100U優惠8500、肉毒200U優惠15990，音波800發活動82折36000現省8000!!，海芙音波200發$9600、400發$18800...小V臉優惠組合...」，並刊載診所名稱、地址等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"60,000",醫療法第86條
15,112/11/21,受處分人OOO係OO診所(機構代碼:3501175769)負責人，於112年11月1日向本局申請該診所歇業備查。坦承該診所自112年4月18日開業至112年10月31日之病人病歷資料已當廢棄物處理。按醫療機構其因故未能繼續開業，病歷無承接者時，應將其餘病歷應保存六個月以上始得銷燬，查上開事項核已違反醫療法第70條之規定。,"10,000",醫療法第70條
16,112/11/16,緣受處分人係「OOOO」(機構代碼：05010OOO)，經本局於112年9月20日至該院辦理年度醫院督導考核，查獲92病房之病床空間已移做為各類檢查室，24床病床堆放於2樓角落及男生宿舍，顯無法收治病人，致急性一般病床實際開放數與登記開放數不符。該院登記事項變更，未於事實發生之日起30日內辦理變更登記，核已違反醫療法第15條第1項規定。,"50,000",醫療法第15條第1項
