編號,名稱,取締路段,座標-X,座標-Y,啟用日期,取締項目
1,區間平均速率,自強隧道,121.549309,25.090898,"108年9月1日
109年4月停用
111年2月21日重啟",超速、跨越雙白線
2,區間平均速率,辛亥隧道,121.555481,25.011792,"109年1月1日
109年4月停用
111年2月21日重啟",超速、跨越雙白線
3,高架道路多功能,市民高架道路,121.539912,25.044799,109年1月1日,逾10噸大貨車違規行駛、機車違規行駛及行駛路肩
4,高架道路多功能,建國高架道路,121.536677,25.046272,110年3月29日,逾10噸大貨車違規行駛、機車違規行駛及不依標誌標線號誌指示行駛
5,路口多功能,鄭州路與西寧北路口,121.508087,25.050537,111年1月3日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛
6,路口多功能,市民大道與承德路口,121.516415,25.048688,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車
7,路口多功能,民權西路與承德路口,121.518198,25.063106,111年12月1日,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛
8,路口多功能,民權西路與延平北路口,121.511237,25.062788,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、汽車行駛機車道(上匝)
9,路口多功能,民權西路與蘭州街口 ,121.514742,25.062957,111年12月1日,闖紅燈、不依規定轉彎
10,路口多功能,大直街與北安路口,121.549383,25.084289,111年12月1日,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車
11,路口多功能,民權東路與建國北路口,121.537221,25.062467,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車
12,路口多功能,市民大道與中山北路口,121.520705,25.048303,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛
13,路口多功能,市民大道與建國南路口,121.536396,25.044857,111年12月1日,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛
14,路口多功能,市民大道與林森北路口 ,121.524208,25.047772,111年12月1日,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛
15,路口多功能,和平東路與基隆路口,121.552499,25.024582,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛
16,路口多功能,信義路與建國南路口,121.537984,25.033613,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛
17,路口多功能,辛亥路與基隆路口,121.546794,25.019411,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、機車行駛人行道
18,路口多功能,市民大道與敦化南路口 ,121.549172,25.044816,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎
19,路口多功能,忠孝東路與基隆路口,121.564334,25.041205,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛
20,路口多功能,信義路與基隆路口,121.559749,25.033149,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛
21,路口多功能,中正路與延平北路口,121.509285,25.086629,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎
22,路口多功能,大度路與立德路口 ,121.471438,25.122991,111年12月1日,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛
23,路口多功能,承德路與福國路口,121.512434,25.101565,111年12月1日,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛
24,路口多功能,和平西路與西園路口,121.499245,25.035269,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛
25,路口多功能,辛亥路與木柵路口 ,121.552292,24.987827,111年12月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛
26,路口多功能,港墘路與堤頂大道口,121.572149,25.074582,113年1月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、路口未淨空
27,路口多功能,南京東路與建國北路口,121.537035,25.052061,113年1月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車
28,路口多功能,民權東路與舊宗、行忠路口,121.575124,25.065846,113年1月1日,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、路口未淨空、跨越槽化線
29,路口多功能,"忠孝東路與敦化南路口
(含敦化南路1段270巷與仁愛路4段71巷口)",121.548561,25.041628,113年1月1日,"闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車、行經設有停車
再開標誌、標字之交岔路口不依規定停讓"
30,違規停車,"市府轉運站公車停靠區
(忠孝東路5段)",121.564869,25.041099,108年11月1日,違規停車
31,違規停車,"臺北車站北側公車停靠區
(市民大道一段)",121.513956,25.049129,110年1月4日,違規停車
32,違規停車,"臺北醫學院周邊
(吳興街220巷)",121.562445,25.027146,110年1月4日,違規停車
33,違規停車,"馬偕醫院周邊
(中山北路2段92號)",121.522755,25.058731,110年3月29日,違規停車
34,違規停車,"南港車站前
(市民大道8段)",121.606948,25.053241,111年3月1日,違規停車
35,違規停車,"臺北轉運站前
(市民大道1段)",121.517907,25.048731,111年3月1日,違規停車
36,違規停車,內湖路1段739號前,121.578366,25.078948,111年3月1日,違規停車
37,違規停車,"捷運公館站前
羅斯福路4段68號至108巷前",121.534219,25.014762,111年7月1日,違規停車
38,違規停車,"臺北榮總醫院周邊
(石牌路二段與立農街口、石牌路二段與天母西路口周邊)",121.518793,25.118811,111年12月1日,違規停車
39,違規停車,臺北大巨蛋前(忠孝東路四段),121.558198,25.041455,113年7月1日,違規停車
