違規案件編號,處分日期,案件狀態,地籍_區,地籍_段,地籍_小段,地籍_地號,違規面積_平方公尺,違規類別,暫停開發兩年,暫停開發到期日,罰鍰金額
TT10600001,,,北投,湖山,一,457,350,未經申請開挖整地,,,0
TT10700001,,,北投,泉源,四,;232;,125,,,,0
AF10801001,,結案,北投,行義,四,71,0,未依技術規範實施,,,0
AF10710002,,結案,士林,天玉,一,187,396,未依技術規範實施,,,0
AF10710001,,結案,北投,行義,一,18080,0,未依技術規範實施,,,0
AF10711001,,結案,士林,芝蘭,三,268,53,未依技術規範實施,,,0
IT10800002,,,內湖,碧山,三,283-1,26,未經申請開挖整地,,,0
IT11000005,,,南港,麗山,四,235,0,,,,0
IT11200001,,,內湖,碧山,二,388,220,未經申請開挖闢路,,,60000
TT10700002,1993/3/1,結案,內湖,碧山,一,;200;,0,堆積土石,,,0
CA08407001,1995/7/31,結案,北投,泉源,三,318,200,未經申請開挖整地,,,60000
CA08408001,1995/8/28,結案,士林,新安,三,;518;,600,未經申請開挖整地,,,80000
CA08409001,1995/9/20,結案,士林,新安,四,;27;,105,其他,,,60000
CA08409002,1995/9/23,結案,文山,指南,二,;477;,390,未經申請開挖整地,,,60000
CA08409003,1995/9/26,結案,內湖,大湖,四,;46;,600,未經申請開挖整地,,,80000
CA08409005,1995/9/26,結案,士林,新安,三,;518;,600,未依規定期限改正,,,100000
CA08409004,1995/9/26,結案,信義,吳興,二,;648;,1500,未經申請開挖整地,,,80000
CA08409007,1995/9/27,結案,文山,老泉,一,402,3600,未經申請開挖整地,,,60000
CA08409006,1995/9/27,結案,內湖,石潭,一,;110;,3000,堆積土石,,,60000
CA08409008,1995/9/30,結案,北投,崇仰,三,;226;,1400,其他,,,100000
CA08410001,1995/10/7,結案,士林,新安,三,;265;,75,未經申請開挖整地,,,60000
CA08411001,1995/11/4,結案,北投,崇仰,三,;226;,1400,未依規定期限改正,,,150000
CA08411002,1995/11/6,結案,北投,大屯,四,;510;,150,其他,,,60000
CA08411003,1995/11/9,結案,北投,泉源,二,;675;,200,堆積土石,,,60000
CA08411004,1995/11/10,結案,文山,萬芳,一,;1;,400,堆積土石,,,60000
