序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,臺北市中正區永綏街8至14號,02-23111525
3,郵政醫院（委託中英醫療社團法人經營）,100,臺北市中正區福州街14號,02-23956755
4,國軍台北門診中心附設民眾診療服務處,100,臺北市中正區紹興南街7號,2391-2630
5,李相台診所,100,臺北市中正區新生南路一段１４８號２樓之１,2391-1378
6,長虹診所,100,臺北市中正區公園路十三號一、二、四樓，地下一樓,2312-2266
7,新生活診所,100,臺北市中正區新生南路一段140號2樓,2351-5885
8,時尚診所,100,臺北市中正區忠孝西路一段33號10樓,2312-1333
9,東妍診所,100,臺北市中正區信義路二段161巷8號2樓、8號2樓之1、12號(實際營業地址1、2樓),02-23518916
10,靚白天使時尚美學診所,100,臺北市中正區重慶南路一段13號9樓,02-23885860
11,晶翎美學診所,100,臺北市中正區仁愛路2段70號1、2樓、72號(1樓),02-23972555
12,佳飛雅醫美診所,100,臺北市中正區辛亥路1段49號(1樓、2樓),
13,瑞婕診所,100,臺北市中正區北平東路36號10樓,02-23218828
14,光澤晶漾診所,100,臺北市中正區館前路18號6樓,02-23888801
15,國立臺灣大學醫學院附設醫院兒童醫院,100,臺北市中正區中山南路8號,2312-3456
16,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,2552-3234
17,京站好萊塢診所,103,臺北市大同區鄭州路3號(1樓、2樓、3樓),02-25585579
18,國防部醫務組診所,104,臺北市中山區北安路409號,02-85099765
19,安和美醫美外科診所,104,臺北市中山區錦州街12號2樓之1,(02)2325-2227
20,潘外科內科診所,104,臺北市中山區長春路135之1號2樓,2571-1993
21,萊佳形象美學診所,104,臺北市中山區復興北路48號2樓,2752-0099
22,蔡秀佩診所,104,臺北市中山區南京東路2段132號6樓,02-25096633
23,德容聯合診所,104,臺北市中山區吉林路197號、197號2樓,(02) 2564-3076
24,欣莘時尚美學診所,104,臺北市中山區長安東路2段63號2樓、63號2樓之1,2515-5385
25,元和雅整形外科診所,104,臺北市中山區松江路125號2樓、2樓之1,02-25000666
26,聖和骨外科診所,104,臺北市中山區農安街138之1號、140號,2596-9131
27,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,臺北市中山區中山北路二段９２號,(02) 2543-3535
28,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,104,臺北市中山區中山北路2段92號,02-25433535
29,中崙國際診所,104,臺北市中山區八德路2段303號(1樓)、305號(1樓及2樓)、307號(1樓及2樓),
30,博仁綜合醫院,105,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,(02) 2578-6677
31,基督復臨安息日會醫療財團法人臺安醫院,105,"臺北市松山區八德路二段424,426號",(02) 2771-8151
32,長庚醫療財團法人台北長庚紀念醫院,105,"臺北市松山區敦化北路199號(暫未開放)、197號(暫未開放)、臺北市松山區敦化北路199巷6號、 臺北市松山?,0227135211""",長庚醫療財團法人台北長庚紀念醫院
33,三軍總醫院松山分院附設民眾診療服務處,105,臺北市松山區健康路１３１號,(02) 2746-2151
34,君綺國際診所,105,臺北市松山區敦化南路1段25號2樓,2579-8200
