報名類別,業者名稱,營業場所地址,評核結果,有效日期
游泳業,駿斯運動事業股份有限公司松山國小分公司,臺北市松山區八德路4段746號,優,20271231
游泳業,全越運動事業股份有限公司信義運動中心,臺北市信義區松勤街100號 ,優,20271231
游泳業,樂霏翔有限公司,臺北市南港區舊莊街1段290巷32號,優,20271231
游泳業,財團法人台北市中華基督教青年會,臺北市信義區永吉路500號,特優,20281231
游泳業,雀斯納國際有限公司,臺北市大安區建國南路2段269號(龍門國中游泳池),特優,20281231
游泳業,台北大眾捷運股份有限公司(北投會館),臺北市北投區大業路527巷88號,特優,20281231
游泳業,匯陽百貨事業股份有限公司松山運動中心分公司,臺北市松山區敦化北路1號,優,20281231
游泳業,開泰豐國際股份有限公司(台北文華東方酒店),臺北市松山區敦化北路158號,優,20281231
游泳業,京庚健康世界股份有限公司民生分公司,臺北市松山區民生東路3段156號B1樓,優,20281231
游泳業,汐游寶寶股份有限公司,臺北市松山區南京東路4段2號B1樓,優,20281231
游泳業,寒舍餐旅管理顧問股份有限公司信義分公司,臺北市信義區松仁路38號,優,20281231
游泳業,時代國際飯店股份有限公司,臺北市信義區忠孝東路5段10號,優,20281231
游泳業,公務人力發展學院福華國際文教會館,臺北市大安區新生南路3段30號B1樓,優,20281231
游泳業,國立台灣師範大學游泳館,臺北市大安區和平東路1段162號(游泳館),優,20281231
游泳業,國立臺灣科技大學,臺北市大安區基隆路4段43號,優,20281231
游泳業,國立臺灣大學綜合體育館,臺北市大安區羅斯福路4段1號(綜合體育館),優,20281231
游泳業,福華大飯店股份有限公司,臺北市大安區仁愛路3段160號,優,20281231
游泳業,臺北市大安運動中心,臺北市大安區辛亥路3段55號,優,20281231
游泳業,香格里拉台北遠東國際大飯店,臺北市大安區敦化南路2段201號,優,20281231
游泳業,香港商世界健身事業有限公司-光復分公司,臺北市大安區忠孝東路4段330號B1樓,優,20281231
游泳業,全越運動事業股份有限公司,臺北市中山區建國北路3段39號,優,20281231
游泳業,中國青年救國團臺北市中山運動中心,臺北市中山區中山北路2段44巷2號,優,20281231
游泳業,大倉久和大飯店,臺北市中山區南京東路1段9號,優,20281231
游泳業,美麗信酒店股份有限公司,臺北市中山區市民大道3段83號,優,20281231
游泳業,寒舍餐旅管理顧問股份有限公司,臺北市中正區忠孝東路1段12號17樓,優,20281231
游泳業,舞動陽光股份有限公司中正營業所,臺北市中正區信義路1段1號,優,20281231
游泳業,舞動陽光股份有限公司大同分公司,臺北市大同區大龍街51號,優,20281231
游泳業,桑富士股份有限公司,臺北市大同區平陽街29號,優,20281231
游泳業,加勒比健康事業股份有限公司,臺北市萬華區西園路2段320巷55弄3號B1-2,優,20281231
游泳業,正中日體育事業股份有限公司(萬華營業所),臺北市萬華區西藏路201號B1樓(鷹萬游泳學苑),優,20281231
游泳業,青年公園運動休閒園區,臺北市萬華區水源路199號,優,20281231
游泳業,恆動力有限公司,臺北市文山區秀明路2段114號,優,20281231
游泳業,國立政治大學,臺北市文山區指南路2段64號,優,20281231
游泳業,中國青年救國團臺北市文山運動中心,臺北市文山區興隆路3段222號,優,20281231
游泳業,中國青年救國團臺北市景美游泳池,臺北市文山區羅斯福路5段176巷50號,優,20281231
游泳業,臺北市政府環境保護局木柵垃圾焚化廠回饋設施博嘉運動公園,臺北市文山區木柵路4段159巷16號,優,20281231
游泳業,緯創運動行銷有限公司,臺北市南港區惠民街67號,優,20281231
游泳業,臺北市政府環境保護局內湖垃圾焚化廠,臺北市內湖區安康路228巷20號,優,20281231
游泳業,中國青年救國團臺北市內湖運動中心,臺北市內湖區洲子街12號,優,20281231
游泳業,恆動力有限公司南湖分公司,臺北市內湖區康寧路３段200號,優,20281231
游泳業,臺北市士林運動中心,臺北市士林區士商路1號,優,20281231
游泳業,天母國際聯誼會,臺北市士林區中山北路6段88號B1、B2,優,20281231
游泳業,正中日體育事業股份有限公司-士林營業所,臺北市士林區環河北路3段95號,優,20281231
游泳業,咖啡櫻有限公司,臺北市北投區洲美街271號,優,20281231
游泳業,北投麗禧溫泉酒店股份有限公司,臺北市北投區幽雅路30號,優,20281231
游泳業,展昭國際企業股份有限公司國立臺北護理健康大學水療中心,臺北市北投區明德路365號,優,20281231
游泳業,臺北市北投運動中心,臺北市北投區石牌路1段39巷100號,優,20281231
游泳業,大地國際酒店股份有限公司,臺北市北投區奇岩路1號,優,20281231
游泳業,筑燕休閒事業股份有限公司陽明營業所,臺北市北投區立農街2段155號(日本伊藤萬),優,20271231
游泳業,城市國際文教事業股份有限公司(北藝大游泳館),臺北市北投區學園路1號(北藝大游泳館),優,20271231
游泳業,舞動陽光股份有限公司師大附中營業所,臺北市大安區信義路3段143號,良,20271231
