行政區別,總計,自動販賣郵購電子購物或其他無法辨識消費者年齡之方式（依菸害防制法第5條第1項）,開放式貨架等可由消費者直接取得且無法辨識年齡之方式（依菸害防制法第5條第2項）,每一販賣單位以少於20支及其內容物淨重低於15公克之包裝方式（依菸害防制法第5條第3項）,菸品容器加註之文字及標示（依菸害防制法第6條第1項）,菸品容器最大外表正反面應以中文標示健康警示圖文與戒菸相關資訊（依菸害防制法第6條第2項）,尼古丁及焦油含量標示數（依菸害防制法第7條第1項）,尼古丁及焦油含量不得超過最高含量數（依菸害防制法第7條第2項）,促銷菸品或為菸品廣告數（依菸害防制法第9條）,販賣菸品場所標示及展示（依菸害防制法第10條第1項）,營業場所不得免費供應菸品數（依菸害防制法第11條）,未滿18歲吸菸者人數（依菸害防制法第12條第1項）,供應菸品予未滿18歲者（依菸害防制法第13條第1項）,強迫引誘等方式使孕婦吸菸（依菸害防制法第13條第2項）,不得製造輸入販賣菸品形狀之物品（依菸害防制法第14條）,全面禁菸場所不得吸菸（依菸害防制法第15條第1項）,所有入口處設置明顯禁菸標示且不得供應與吸菸有關器物（依菸害防制法第15條第2項）,未設吸菸區者全面禁菸（依菸害防制法第16條第1項）,所有入口處及其他適當地點設置明顯禁菸標示或除吸菸區外不得吸菸意旨之標示除吸菸區外不得供應與吸菸有關器物（依菸害防制法第16條第2項）,吸菸區標示及設置規定（依菸害防制法第16條第3項）,下午9時以後開始營業且18歲以上始能進入之酒吧視聽歌唱場所（依菸害防制法第15條第1項第11款）,其他經各級主管機關指定公告之場所及交通工具（依菸害防制法第16條第1項第4款）,其他
63000010,"3,829",191,191,191,191,191,191,191,220,191,191,262,220,220,220,390,392,6,24,0,137,19,0
63000020,731,13,13,13,13,13,13,13,21,13,13,123,93,93,21,93,93,30,32,0,13,2,0
63000030,"4,430",234,234,234,234,234,234,234,300,234,234,297,297,297,296,309,309,1,63,1,82,72,0
63000040,"11,802",618,618,618,618,618,618,618,774,618,619,897,687,687,686,887,881,69,90,44,472,65,0
63000050,"6,885",329,329,329,329,329,329,329,422,329,329,499,499,499,422,611,611,10,71,0,219,61,0
63000060,"1,420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,527,176,183,0,0,7,0
63000070,"2,614",145,143,143,143,143,143,143,165,143,143,165,165,163,165,172,172,2,15,0,124,17,0
63000080,"5,709",146,145,145,145,145,145,145,173,145,146,786,786,785,174,661,660,134,137,0,101,5,0
63000090,"1,219",71,71,71,71,71,71,71,73,71,71,76,73,73,73,75,75,1,1,0,60,0,0
63000100,"3,995",117,117,117,117,117,117,117,147,117,117,741,145,145,145,745,736,14,18,2,97,7,0
63000110,"2,577",98,98,98,98,98,98,98,108,98,98,155,144,143,102,454,454,14,18,14,82,7,0
63000120,"3,639",175,175,175,175,175,175,175,216,175,175,348,191,190,190,350,350,14,24,13,155,23,0
