行政區別,總計,自動販賣郵購電子購物或其他無法辨識消費者年齡之方式（第8條第1款）,開放式貨架或其他可由消費者直接取得之方式（第8條第2款）,每一販賣單位以少於20支及其內容物淨重低於15公克之包裝方式（第8條第3款）,菸品容器加註之文字及標示數（第9條第1項）,菸品容器最大正面及反面明顯位置處應以中文標示健康警示圖文及戒菸相關資訊且其標示面積不得低於該面積50%（第9條第2項）,菸品不得使用經中央主管機關公告禁止使用之添加物數（第10條第1項）,尼古丁及焦油含量標示（第10條第2項）,菸品指定菸品必要之組合元件之促銷或廣告數（第12條）,販賣菸品場所標示數（第13條第1項）,營業場所不得免費供應菸品指定菸品必要之組合元件（第14條）,不得製造輸入販賣供應展示或廣告與菸品或菸品容器形狀近似物品（第15條第1項第1款）,任何人不得製造輸入販賣供應展示或廣告之物品數（第15條第1項第2款-1販賣）,任何人不得製造輸入販賣供應展示或廣告之物品（第15條第1項第2款-2供應）,任何人不得製造輸入販賣供應展示或廣告之物品（第15條第1項第2款-3展示）,任何人不得製造輸入販賣供應展示或廣告之物品（第15條第1項第2款-4廣告）,任何人不得製造輸入販賣供應展示或廣告之物品（第15條第1項第2款-5製造）,任何人不得製造輸入販賣供應展示或廣告之物品（第15條第1項第2款-6輸入）,任何人不得製造輸入販賣供應展示或廣告之物品（第15條第1項第3款-1販賣）,任何人不得製造輸入販賣供應展示或廣告之物品（第15條第1項第3款-2供應）,任何人不得製造輸入販賣供應展示或廣告之物品數（第15條第1項第3款-3展示）,任何人不得製造輸入販賣供應展示或廣告之物品數（第15條第1項第3款-4廣告）,任何人不得製造輸入販賣供應展示或廣告之物品（第15條第1項第3款-5製造）,任何人不得製造輸入販賣供應展示或廣告之物品數（第15條第1項第3款-6輸入）,任何人不得使用類菸品及第15條第1項第3款之指定菸品（第15條第2項）,未滿20歲者不得吸菸數（第16條第1項）,不得供應菸品指定菸品必要之組合元件予未滿20歲之人亦不得以強迫引誘或其他方式使孕婦或未滿20歲之人吸菸（第17條第1項）,全面禁菸場所不得吸菸數（第18條第1項）,於旅館商場餐飲店酒吧夜店雪茄館或其他供公眾消費之室內場所且未設置獨立空調及獨立隔間之吸菸室內吸菸（第18條第1項第11款）,所有入口處設置明顯禁菸標示且不得供應與吸菸有關器物（第18條第2項）,未設吸菸區者全面禁菸（第19條第1項）,其他經各級主管機關指定公告之場所及交通工具（第19條第1項第4款）,所有入口處及其他適當地點設置明顯禁菸標示或除吸菸區外不得吸菸意旨之標示除吸菸區外不得供應與吸菸有關器物（第19條第2項）,吸菸區標示及設置規定（第19條第3項）,其他
63000010,"65,810","1,764","1,764","1,763","1,763","1,763","1,763","1,759","5,243","1,819","1,769","1,774","1,774","1,774","1,764","1,769","1,773","1,764","1,764","1,764","1,764","1,774","1,764","1,764","1,814","2,322","3,538","2,626","1,747","2,632","1,754","1,726","1,773","1,722",0
63000020,"68,627","1,969","1,970","1,965","1,965","1,965","1,969","1,905","4,755","3,381","2,044","2,114","2,098","2,095","2,007","1,991","2,095","2,006","2,024","2,025","2,025","2,066","2,025","2,025","2,230","3,065","4,045","3,004","1,760","3,025",165,205,239,405,0
63000030,"101,379","2,949","2,949","2,950","2,950","2,950","2,953","2,897","7,339","4,973","3,050","3,143","3,116","3,115","3,021","2,974","3,116","3,021","3,044","3,047","3,047","3,048","3,047","3,046","3,355","3,149","6,050","3,997","2,693","3,400",360,550,615,"1,465",0
63000040,"94,258","2,167","2,167","2,161","2,161","2,161","2,164","2,122","5,360","4,245","2,270","3,182","3,140","3,137","3,033","3,047","3,137","3,033","3,033","3,033","3,033","3,143","3,033","3,033","3,210","4,563","7,614","4,498","1,899","4,547",92,293,336,211,0
63000050,"71,796","2,080","2,080","2,077","2,077","2,077","2,077","2,024","4,685","3,679","2,084","2,249","2,249","2,249","2,189","2,225","2,249","2,189","2,189","2,189","2,189","2,248","2,189","2,189","2,285","2,249","4,435","3,021","1,881","3,006",197,268,364,358,0
63000060,"66,917","1,711","1,711","1,710","1,710","1,710","1,710","1,696","3,883","3,332","1,738","2,075","2,075","2,074","2,033","2,038","2,073","2,033","2,033","2,033","2,033","2,073","2,033","2,033","2,097","2,077","4,111","4,386","1,558","4,393",87,223,272,163,0
63000070,"59,587","1,718","1,718","1,702","1,702","1,702","1,702","1,683","3,864","3,137","1,709","1,869","1,869","1,869","1,843","1,860","1,866","1,843","1,843","1,843","1,843","1,869","1,843","1,843","1,935","1,875","3,709","2,513","1,588","2,482",91,203,218,233,0
63000080,"52,005","1,371","1,371","1,366","1,366","1,366","1,366","1,344","3,347","2,520","1,366","1,574","1,574","1,574","1,552","1,556","1,574","1,552","1,552","1,552","1,552","1,574","1,552","1,552","1,696","2,417","3,145","2,303","1,239","2,274",404,409,454,591,0
63000090,"30,644",852,852,852,852,852,852,852,"2,533",881,852,855,855,855,855,855,855,855,855,855,855,855,855,855,857,856,"1,710",859,846,856,830,827,828,830,0
63000100,"50,860","1,342","1,342","1,342","1,342","1,342","1,342","1,329","3,973","1,396","1,347","1,360","1,361","1,361","1,347","1,353","1,361","1,347","1,347","1,347","1,347","1,359","1,347","1,347","1,367","2,188","2,700","2,045","1,322","2,053","1,447","1,286","1,458","1,313",0
