序號,年度,縣市,縣市代碼,路段名,筆數
1,109,臺北市,63000,忠孝東路四段                                  ,2359
2,109,臺北市,63000,敦化南路一段                                  ,2153
3,109,臺北市,63000,敦化南路二段                                  ,1946
4,109,臺北市,63000,忠孝東路五段                                  ,1468
5,109,臺北市,63000,長春路                                     ,1465
6,109,臺北市,63000,民權東路六段                                  ,1217
7,109,臺北市,63000,市民大道一段                                  ,1203
8,109,臺北市,63000,八德路四段                                   ,1141
9,109,臺北市,63000,松山路                                     ,1136
10,109,臺北市,63000,成都路                                     ,1119
